InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,6/1/11 12:05,0.85,17315.0,United Kingdom
554974,21128,GOLD FISHING GNOME,4,5/27/11 17:14,6.95,14031.0,United Kingdom
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,4/21/11 17:05,0.65,14031.0,United Kingdom
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,11/16/11 10:39,1.95,17198.0,United Kingdom
546157,22180,RETROSPOT LAMP,2,3/10/11 8:40,9.95,13502.0,United Kingdom
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/14/11 12:14,2.95,15572.0,United Kingdom
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,11/17/11 15:08,0.39,14362.0,United Kingdom
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,9/29/11 13:38,1.25,16818.0,United Kingdom
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,11/22/11 16:02,6.75,17759.0,United Kingdom
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,7/19/11 10:51,1.65,12415.0,Australia
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,3/7/11 10:52,7.9,15039.0,United Kingdom
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,10/30/11 15:35,0.79,13949.0,United Kingdom
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,5/5/11 12:13,8.5,14515.0,United Kingdom
563745,22115,METAL SIGN EMPIRE TEA,12,8/19/11 9:38,0.79,15159.0,United Kingdom
540418,22161,HEART DECORATION RUSTIC HANGING ,5,1/7/11 11:04,0.81,,United Kingdom
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,3/10/11 12:50,2.55,16625.0,United Kingdom
548005,21499,BLUE POLKADOT WRAP,25,3/29/11 10:49,0.42,14128.0,United Kingdom
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,12/15/10 12:27,9.95,13092.0,United Kingdom
545715,82600,NO SINGING METAL SIGN,1,3/7/11 10:13,4.13,,United Kingdom
C572489,22465,HANGING METAL STAR LANTERN,-5,10/24/11 13:59,1.65,17119.0,United Kingdom
577820,23169,CLASSIC GLASS COOKIE JAR,18,11/22/11 9:24,3.75,13408.0,United Kingdom
555091,21936,RED RETROSPOT PICNIC BAG,1,5/31/11 12:50,2.95,12748.0,United Kingdom
556106,22669,RED BABY BUNTING ,2,6/8/11 16:54,2.95,14056.0,United Kingdom
537159,22667,RECIPE BOX RETROSPOT ,1,12/5/10 13:17,2.95,14527.0,United Kingdom
565841,22555,PLASTERS IN TIN STRONGMAN,1,9/7/11 12:04,3.29,,United Kingdom
536532,20685,DOORMAT RED RETROSPOT,2,12/1/10 13:24,7.95,12433.0,Norway
572681,23232,WRAP VINTAGE LEAF DESIGN,25,10/25/11 13:51,0.42,13510.0,United Kingdom
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,3/30/11 12:02,0.85,16657.0,United Kingdom
577531,22699,ROSES REGENCY TEACUP AND SAUCER ,7,11/20/11 13:58,5.79,,United Kingdom
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,7/6/11 13:13,0.65,17861.0,United Kingdom
566922,23420,PANTRY HOOK TEA STRAINER ,12,9/15/11 14:58,2.08,16156.0,United Kingdom
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,3/1/11 9:35,0.85,12428.0,Finland
574074,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,11/2/11 15:33,0.83,,United Kingdom
569026,23203,JUMBO BAG VINTAGE DOILY ,10,9/30/11 10:18,2.08,16101.0,United Kingdom
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,12/9/10 17:27,6.75,17841.0,United Kingdom
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,10/25/11 15:03,1.65,13871.0,United Kingdom
552828,22046,TEA PARTY  WRAPPING PAPER ,25,5/11/11 13:23,0.42,13662.0,United Kingdom
575922,23225,CHERUB HEART DECORATION SILVER ,24,11/11/11 17:10,0.83,15681.0,United Kingdom
C546730,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,3/16/11 11:39,4.95,18183.0,United Kingdom
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,7/17/11 14:05,3.25,13880.0,United Kingdom
540468,21413,PERIWINKLE T-LIGHT HOLDER,1,1/7/11 13:55,2.51,,United Kingdom
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,3/6/11 15:17,6.75,17107.0,United Kingdom
567656,51014A,"FEATHER PEN,HOT PINK",26,9/21/11 14:40,0.83,14096.0,United Kingdom
575063,35970,ZINC FOLKART SLEIGH BELLS,3,11/8/11 12:32,1.69,16764.0,United Kingdom
556917,22659,LUNCH BOX I LOVE LONDON,128,6/15/11 13:37,1.65,12415.0,Australia
561369,22268,DECORATION SITTING BUNNY,2,7/26/11 16:21,0.63,,United Kingdom
538449,82599,FANNY'S REST STOPMETAL SIGN,2,12/12/10 12:24,2.1,17085.0,United Kingdom
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,12/1/10 13:23,3.75,15485.0,United Kingdom
C559030,84857C,PINK MONTE CARLO HANDBAG,-1,7/5/11 14:51,1.95,16571.0,United Kingdom
540681,82494L,WOODEN FRAME ANTIQUE WHITE ,1,1/10/11 16:25,7.62,,United Kingdom
562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,8/4/11 15:04,1.65,14535.0,United Kingdom
568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,9/25/11 11:29,1.65,14005.0,United Kingdom
554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,5/20/11 13:14,0.42,13243.0,United Kingdom
562717,22784,LANTERN CREAM GAZEBO ,1,8/8/11 15:42,10.79,,United Kingdom
554959,85099B,JUMBO BAG RED RETROSPOT,2,5/27/11 15:18,4.13,,United Kingdom
550512,22523,CHILDS GARDEN FORK PINK,2,4/18/11 16:31,0.85,18069.0,United Kingdom
578844,21317,GLASS SPHERE CANDLE STAND MEDIUM,4,11/25/11 16:14,10.79,,United Kingdom
572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,10/25/11 13:10,1.45,16549.0,United Kingdom
553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,5/17/11 13:26,5.45,13310.0,United Kingdom
565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,9/1/11 11:33,1.69,13089.0,United Kingdom
566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,9/12/11 13:56,6.95,13064.0,United Kingdom
536593,22366,DOORMAT AIRMAIL ,2,12/1/10 17:15,7.95,16835.0,United Kingdom
578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,11/22/11 14:23,4.25,17338.0,United Kingdom
553525,21385,IVORY HANGING DECORATION  HEART,24,5/17/11 14:50,0.85,16266.0,United Kingdom
548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,4/4/11 9:55,1.95,13198.0,United Kingdom
551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,5/3/11 12:16,0.83,15271.0,United Kingdom
555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,6/2/11 15:13,1.65,12517.0,Germany
578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,11/27/11 16:05,0.39,15436.0,United Kingdom
579777,21877,HOME SWEET HOME MUG,1,11/30/11 15:13,3.29,,United Kingdom
557233,22561,WOODEN SCHOOL COLOURING SET,3,6/17/11 14:44,1.65,15356.0,United Kingdom
555924,85131B,BEADED CRYSTAL HEART GREEN ON STICK,5,6/7/11 17:12,0.83,,United Kingdom
558232,21927,BLUE/CREAM STRIPE CUSHION COVER ,2,6/27/11 14:30,1.25,17841.0,United Kingdom
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2/2/11 14:36,2.55,15421.0,United Kingdom
575070,23427,STOOL HOME SWEET HOME ,2,11/8/11 12:58,12.5,17841.0,United Kingdom
544322,79000,MOROCCAN TEA GLASS,24,2/17/11 15:50,0.85,14211.0,United Kingdom
570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,10/7/11 10:13,1.25,17841.0,United Kingdom
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,5/19/11 17:47,9.95,12353.0,Bahrain
579619,21174,POTTERING IN THE SHED METAL SIGN,12,11/30/11 12:10,2.08,18241.0,United Kingdom
559200,84375,SET OF 20 KIDS COOKIE CUTTERS,1,7/7/11 10:36,2.1,13291.0,United Kingdom
540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,1/7/11 13:17,3.81,14298.0,United Kingdom
548336,15036,ASSORTED COLOURS SILK FAN,600,3/30/11 14:06,0.65,13082.0,United Kingdom
574257,72818,,-3,11/3/11 13:46,0.0,,United Kingdom
575051,21623,VINTAGE UNION JACK MEMOBOARD,2,11/8/11 12:14,9.95,15957.0,United Kingdom
568095,90201B,BLACK ENAMEL FLOWER RING,6,9/23/11 14:49,2.95,14911.0,EIRE
544646,71038,WHITE HANGING BEADS CANDLE HOLDER,4,2/22/11 12:06,5.45,17075.0,United Kingdom
580610,85049e,SCANDINAVIAN REDS RIBBONS,2,12/5/11 11:48,3.29,,United Kingdom
542112,22423,REGENCY CAKESTAND 3 TIER,2,1/25/11 13:55,12.75,13168.0,United Kingdom
566203,84946,ANTIQUE SILVER T-LIGHT GLASS,12,9/9/11 14:47,1.25,16362.0,United Kingdom
578290,22670,FRENCH WC SIGN BLUE METAL,12,11/23/11 14:07,1.25,13644.0,United Kingdom
547202,22652,TRAVEL SEWING KIT,1,3/21/11 13:38,1.65,17841.0,United Kingdom
550496,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,4/18/11 15:05,1.8,,United Kingdom
540114,84030E,ENGLISH ROSE HOT WATER BOTTLE,8,1/5/11 9:44,4.25,15498.0,United Kingdom
573909,22913,RED COAT RACK PARIS FASHION,1,11/1/11 15:26,4.95,17813.0,United Kingdom
576611,23084,RABBIT NIGHT LIGHT,10,11/15/11 16:29,2.08,17357.0,United Kingdom
538658,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,12/13/10 15:34,5.95,17969.0,United Kingdom
541181,22502,PICNIC BASKET WICKER SMALL,16,1/14/11 11:50,4.95,12877.0,United Kingdom
577498,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,11/20/11 12:22,3.75,15906.0,United Kingdom
549682,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,4/11/11 13:22,0.85,12596.0,Spain
546396,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4,3/11/11 14:35,2.1,13226.0,United Kingdom
567959,23205,CHARLOTTE BAG VINTAGE ALPHABET ,20,9/23/11 9:13,0.85,12516.0,Germany
579093,20963,APPLE BATH SPONGE,50,11/28/11 10:54,1.25,13081.0,United Kingdom
559051,22622,BOX OF VINTAGE ALPHABET BLOCKS,1,7/5/11 16:47,24.96,,United Kingdom
563404,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8,8/16/11 11:04,3.75,16303.0,United Kingdom
568869,23288,GREEN VINTAGE SPOT BEAKER,8,9/29/11 12:01,0.85,12957.0,United Kingdom
558096,21851,LILAC DIAMANTE PEN IN GIFT BOX,2,6/26/11 13:24,4.95,15532.0,United Kingdom
570637,22338,STAR DECORATION PAINTED ZINC ,96,10/11/11 12:34,0.19,12530.0,Germany
566195,21877,HOME SWEET HOME MUG,12,9/9/11 13:44,1.25,12433.0,Norway
559542,23266,SET OF 3 WOODEN STOCKING DECORATION,2,7/10/11 13:32,1.25,17126.0,United Kingdom
565232,22811,SET OF 6 T-LIGHTS CACTI ,2,9/2/11 9:30,5.79,,United Kingdom
555602,47504K,ENGLISH ROSE GARDEN SECATEURS,12,6/6/11 11:26,1.95,16235.0,United Kingdom
540154,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,4,1/5/11 11:30,8.47,,United Kingdom
565331,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,9/2/11 13:59,1.25,16674.0,United Kingdom
540121,22610,PENS ASSORTED FUNNY FACE,36,1/5/11 10:35,0.21,16145.0,United Kingdom
576837,21945,STRAWBERRIES  DESIGN FLANNEL ,3,11/16/11 15:16,1.63,,United Kingdom
543172,22197,SMALL POPCORN HOLDER,6,2/4/11 9:11,1.63,,United Kingdom
555590,21668,RED STRIPE CERAMIC DRAWER KNOB,24,6/6/11 9:39,1.25,17690.0,United Kingdom
557466,23240,SET OF 4 KNICK KNACK TINS DOILEY ,6,6/20/11 13:08,4.15,13815.0,Germany
568721,22189,CREAM HEART CARD HOLDER,1,9/28/11 16:24,8.29,,United Kingdom
544684,22635,CHILDS BREAKFAST SET DOLLY GIRL ,1,2/22/11 16:32,19.96,,United Kingdom
537469,22112,CHOCOLATE HOT WATER BOTTLE,24,12/7/10 10:43,4.25,17720.0,United Kingdom
578307,22630,DOLLY GIRL LUNCH BOX,2,11/23/11 15:53,1.95,17290.0,United Kingdom
550636,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,1,4/19/11 15:37,8.29,,United Kingdom
543979,85114A,BLACK ENCHANTED FOREST PLACEMAT,5,2/14/11 15:43,1.65,14606.0,United Kingdom
580881,23199,JUMBO BAG APPLES,10,12/6/11 12:19,2.08,16620.0,United Kingdom
549557,22990,COTTON APRON PANTRY DESIGN,3,4/10/11 12:59,4.95,14450.0,United Kingdom
560576,22295,HEART FILIGREE DOVE LARGE,6,7/19/11 14:59,1.65,17287.0,United Kingdom
548567,23078,ICE CREAM PEN LIP GLOSS ,24,4/1/11 10:34,1.25,17965.0,United Kingdom
549250,85144,JARDIN ETCHED GLASS CHEESE DISH,1,4/7/11 12:10,1.95,14446.0,United Kingdom
552325,23206,LUNCH BAG APPLE DESIGN,10,5/9/11 9:47,1.65,12490.0,France
546643,85150,LADIES & GENTLEMEN METAL SIGN,6,3/15/11 13:23,2.55,16214.0,United Kingdom
554842,22568,FELTCRAFT CUSHION OWL,4,5/26/11 18:17,3.75,14740.0,United Kingdom
561214,21429,RED GINGHAM ROSE JEWELLERY BOX,1,7/25/11 17:00,4.13,,United Kingdom
547962,21714,CITRONELLA CANDLE GARDEN POT,12,3/28/11 15:38,1.25,12957.0,United Kingdom
540468,22585,PACK OF 6 BIRDY GIFT TAGS,2,1/7/11 13:55,2.51,,United Kingdom
579161,23493,VINTAGE DOILY TRAVEL SEWING KIT,5,11/28/11 13:56,1.95,17379.0,United Kingdom
560567,22081,RIBBON REEL FLORA + FAUNA ,2,7/19/11 13:57,3.29,,United Kingdom
550438,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,4/18/11 12:16,8.5,15265.0,United Kingdom
540646,90214W,"LETTER ""W"" BLING KEY RING",1,1/10/11 14:32,0.85,,United Kingdom
544724,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2/23/11 10:46,2.1,15605.0,United Kingdom
580505,23350,ROLL WRAP VINTAGE SPOT ,4,12/4/11 13:32,1.25,15867.0,United Kingdom
580504,23079,TOADSTOOL BEDSIDE LIGHT ,1,12/4/11 13:32,8.95,17936.0,United Kingdom
578344,22541,MINI JIGSAW LEAP FROG,1,11/24/11 9:21,0.83,,United Kingdom
562928,84926D,LA PALMIERA TILE COASTER,24,8/10/11 15:29,0.29,15494.0,United Kingdom
546008,22136,LOVE HEART SOCK HANGER,1,3/8/11 15:43,3.29,,United Kingdom
559557,23159,SET OF 5 PANCAKE DAY MAGNETS,12,7/11/11 10:33,2.08,17444.0,Canada
572472,22553,PLASTERS IN TIN SKULLS,12,10/24/11 13:34,1.65,14139.0,United Kingdom
572509,23203,JUMBO BAG VINTAGE DOILY ,2,10/24/11 14:25,2.08,17004.0,United Kingdom
C578144,22697,GREEN REGENCY TEACUP AND SAUCER,-3,11/23/11 11:06,2.95,16201.0,United Kingdom
567805,23333,IVORY WICKER HEART MEDIUM,2,9/22/11 12:15,1.25,12854.0,United Kingdom
570855,22818,CARD CHRISTMAS VILLAGE,12,10/12/11 14:56,0.42,17314.0,United Kingdom
573300,23570,TRADITIONAL PICK UP STICKS GAME ,1,10/28/11 16:10,1.25,16049.0,United Kingdom
558758,21394,RED POLKADOT BEAKER ,1,7/3/11 12:27,0.39,17939.0,United Kingdom
579777,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,2,11/30/11 15:13,0.83,,United Kingdom
563477,23292,SPACEBOY CHILDRENS CUP,1,8/16/11 15:39,1.25,17097.0,Spain
537372,22837,HOT WATER BOTTLE BABUSHKA ,2,12/6/10 12:52,4.65,16919.0,United Kingdom
559923,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,7/13/11 16:07,6.63,,United Kingdom
554956,22555,PLASTERS IN TIN STRONGMAN,3,5/27/11 15:17,3.29,,United Kingdom
551142,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,4,4/26/11 13:22,0.83,17613.0,United Kingdom
580134,20668,DISCO BALL CHRISTMAS DECORATION,24,12/1/11 19:24,0.12,13102.0,United Kingdom
542255,22697,GREEN REGENCY TEACUP AND SAUCER,6,1/26/11 16:43,5.79,,United Kingdom
576673,22548,adjustment,4,11/16/11 11:59,0.0,,United Kingdom
575138,21329,DINOSAURS  WRITING SET ,1,11/8/11 15:24,3.29,,United Kingdom
557123,22998,TRAVEL CARD WALLET KEEP CALM,10,6/16/11 17:56,0.42,15555.0,United Kingdom
541827,22659,LUNCH BOX I LOVE LONDON,1,1/21/11 17:05,4.13,,United Kingdom
569202,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,6,9/30/11 17:22,2.46,,United Kingdom
547708,82551,LAUNDRY 15C METAL SIGN,288,3/24/11 18:34,1.7,17450.0,United Kingdom
555633,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2,6/6/11 12:22,2.95,14534.0,United Kingdom
545812,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,3/7/11 12:26,1.65,14214.0,United Kingdom
550512,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,1,4/18/11 16:31,0.65,18069.0,United Kingdom
569702,21899,GARAGE KEY FOB,1,10/5/11 16:09,0.65,14396.0,United Kingdom
580903,22199,FRYING PAN RED RETROSPOT,1,12/6/11 12:56,1.25,14606.0,United Kingdom
548167,22386,JUMBO BAG PINK POLKADOT,4,3/29/11 13:45,4.13,,United Kingdom
539466,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",20,12/19/10 12:46,0.42,12668.0,Germany
570252,23426,METAL SIGN DROP YOUR PANTS,6,10/10/11 9:14,2.89,14665.0,United Kingdom
574653,22079,RIBBON REEL HEARTS DESIGN ,10,11/6/11 11:30,1.65,12619.0,Germany
547921,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,3/28/11 13:28,1.25,14766.0,United Kingdom
